state,county,census_county_fips
MS,Pike,28113
CA,San Bernardino,06071
AZ,Pima,04019
WI,Rock,55105
CT,Hartford,09110
WA,Snohomish,53061
TN,Cocke,47029
PA,Allegheny,42003
NC,Beaufort,37013
FL,Hillsborough,12057
SC,York,45091
KY,Marshall,21157
GA,Floyd,13115
WI,Waukesha,55133
WV,Pocahontas,54075
NY,New York,36061
IA,Pocahontas,19151
NY,Westchester,36119
MO,Linn,29115
IL,Ford,17053
PA,Potter,42105
TN,Warren,47177
MN,Sherburne,27141
OH,Trumbull,39155
LA,St. Landry,22097
NH,Hillsborough,33011
TX,Bowie,48037
OK,Oklahoma,40109
CA,Marin,06041
CA,Los Angeles,06037
TX,Denton,48121
FL,Miami-Dade,12086
NH,Grafton,33009
NC,Gaston,37071
MI,Macomb,26099
TN,Coffee,47031
NJ,Monmouth,34025
TX,Dallas,48113
MA,Norfolk,25021
CO,Teller,08119
OH,Ashtabula,39007
NM,Grant,35017
FL,Lee,12071
GA,DeKalb,13089
IN,Hancock,18059
IL,Fulton,17057
KS,Rooks,20163
CA,Monterey,06053
MD,Prince Georges,24033
MN,Mower,27099
KY,Rockcastle,21203
WA,Klickitat,53039
NY,Delaware,36025
NV,Clark,32003
MS,Washington,28151
IA,Polk,19153
ND,Grand Forks,38035
PA,Northampton,42077
TX,Tarrant,48439
GA,Gwinnett,13135
CO,Baca,08009
TX,Eastland,48133
SD,Lawrence,46081
SC,Dorchester,45035
MA,Middlesex,25017
NC,Avery,37011
AZ,Maricopa,04013
PA,Westmoreland,42129
NE,Seward,31159
MI,Kalamazoo,26077
VA,Prince William,51153
IL,McHenry,17111
CA,Tulare,06107
UT,Davis,49011
IL,Jersey,17083
DE,Sussex,10005
OH,Fayette,39047
LA,Jefferson,22071
KY,Franklin,21073
MI,Genesee,26049
MO,Atchison,29005
TX,Comal,48091
NE,Phelps,31137
CA,Orange,06059
TX,Montgomery,48339
IL,Cook,17031
TX,Bexar,48029
SC,Kershaw,45055
OH,Lucas,39095
MN,Watonwan,27165
IN,Marion,18097
FL,Escambia,12033
MO,Lincoln,29113
MO,Butler,29023
CA,Santa Clara,06085
IA,Polk,19049
IA,Pottawattamie,19155
PA,Washington,42125
FL,Alachua,12001
PA,Schuylkill,42107
KY,Bourbon,21017
MN,Stearns,27145
LA,Orleans,22071
IN,Elkhart,18039
OK,Cimarron,40025
WA,Okanogan,53047
IN,Hendricks,18063
LA,Webster,22119
IA,Plymouth,19149
TX,Hays,48209
PA,Lancaster,42071
CO,Larimer,08069
CO,La Plata,08067
WI,Dane,55025
ID,Madison,16065
NM,Los Alamos,35028
MO,Macon,29121
MN,Itasca,27061
OH,Richland,39139
NJ,Morris,34027
IA,Harrison,19085
MS,Marshall,28093
LA,St. Tammany,22103
KS,Wyandotte,20209
OK,Osage,40113
AL,Barbour,01005
GA,Newton,13217
MS,Leake,28079
TN,Rutherford,47149
WI,Milwaukee,55079
CA,Santa Barbara,06083
AL,Houston,01069
CA,Placer,06061
KY,Jefferson,21111
MS,Rankin,28121
AL,Etowah,01055
GA,Chatham,13051
IN,Lake,18089
NE,Boone,31011
AL,Lawrence,01079
MD,Worcester,24047
MD,Wicomico,24045
FL,Lake,12069
MS,Simpson,28127
ND,Bottineau,38009
MO,Boone,29019
FL,DeSoto,12027
AR,Polk,05113
IN,Madison,18095
TX,Harris,48201
TX,Travis,48453
NJ,Burlington,34005
NH,Merrimack,33013
GA,Decatur,13087
KS,Wilson,20205
IA,Clayton,19043
TX,Hill,48309
IA,Shelby,19165
MN,Nobles,27105
CT,Fairfield,09120
MT,Flathead,30029
NE,Dawson,31047
OH,Montgomery,39113
NE,Chase,31029
LA,Allen,22003
OK,Cleveland,40027
MO,Vernon,29217
VA,Fairfax,51059
PA,Erie,42049
VA,Bedford,51019
MS,Lamar,28073
WV,Brooke,54009
KS,Neosho,20133
SC,Horry,45051
MS,Jasper,28061
CA,Riverside,06065
OK,Dewey,40043
MI,Van Buren,26159
VA,Richmond,51760
ME,Hancock,23009
LA,Rapides,22079
NV,Pershing,32027
ND,Cavalier,38019
NC,Burke,37023
MI,Oakland,26125
NY,Kings,36047
WA,King,53033
LA,St. Helena,22091
CA,Napa,06055
CO,Broomfield,08059
IL,Marion,17121
NE,Nance,31125
WV,Cabell,54011
ND,Adams,38001
MA,Bristol,25005
SD,Codington,46029
KS,Johnson,20091
KS,Russell,20167
NY,Suffolk,36103
NY,Monroe,36055
MT,Pondera,30073
KS,Barton,20009
MS,Lauderdale,28075
FL,Palm Beach,12099
PA,Montour,42093
ND,Traill,38097
IL,Livingston,17105
OH,Defiance,39039
IL,Lake,17097
OH,Hamilton,39113
KY,Kenton,21117
LA,Evangeline,22039
OH,Lawrence,39087
AL,Jefferson,01073
MA,Suffolk,25025
GA,Dougherty,13095
MS,Warren,28149
OK,Blaine,40011
IL,Winnebago,17201
NY,Chautauqua,36013
NC,Mecklenburg,37119
IL,Kane,17089
PA,Bucks,42017
MT,Prairie,30079
CA,Inyo,06027
OH,Cuyahoga,39035
NJ,Hunterdon,34019
AR,Garland,05051
AZ,Yavapai,04025
WY,Carbon,56007
MA,Worcester,25027
TX,Trinity,48455
SC,Horry,45043
NY,Orleans,36073
VA,Loudoun,51107
MA,Berkshire,25003
TX,Rusk,48401
MI,Mecosta,26107
KS,Montgomery,20125
IN,La Porte,18091
GA,Cook,13075
ID,Kootenai,16055
IL,Lee,17103
ME,York,23031
NJ,Mercer,36061
UT,Duchesne,49013
NC,Moore,37125
DE,Kent,10001
MS,Harrison,28047
KY,Taylor,21217
AR,Scott,05127
IA,Adams,19003
IA,Appanoose,19007
NC,New Hanover,37129
MO,Marion,29127
GA,Bartow,13015
TX,Bee,48025
CA,San Joaquin,06077
CA,Sonoma,06097
CO,El Paso,08041
IL,De Witt,17039
KY,Hardin,21093
SC,Spartanburg,45083
LA,Calcasieu,22019
CO,Adams,08001
KS,Franklin,20059
TX,Collin,48085
PA,Lawrence,42073
GA,Gordon,13129
GA,Muscogee,13215
OH,Franklin,39049
AL,Marengo,01091
WI,Fond du Lac,55039
MT,Meagher,30059
SC,Greenville,45045
KS,Sumner,20191
TX,Webb,48479
NC,Davidson,37057
LA,Jefferson,22051
MT,Yellowstone,30111
CA,Fresno,06019
TX,Tyler,48457
IA,Dubuque,19061
AL,Tuscaloosa,01125
PA,Mercer,42085
CO,Broomfield,08014
OH,Butler,39017
FL,Pinellas,12103
MI,Wayne,26163
TX,Bastrop,48053
FL,Broward,12011
CA,Merced,06047
TX,El Paso,48141
TX,Frio,48163
PA,Luzerne,42079
